Citizenship Status,Age,Education Level,Employment Sector,Marital Status,Number of Dependents,Average Sector Salary (Indonesia),Average Sector Salary (Singapore),Annual Income,Length of Residency in Singapore
Indonesian,35,2,Healthcare,0,2,10000,45000,12538.802097270896,0
Singaporean,64,2,Education,1,2,8000,35000,38536.7322050441,11
Indonesian,37,1,Education,1,0,8000,35000,53414.0,0
Indonesian,43,3,Education,1,0,8000,35000,7632.723132916067,0
Indonesian,45,2,Technology,1,1,12000,50000,10536.675267258825,0
Singaporean,44,1,Technology,1,1,12000,50000,52395.742090002626,3
Indonesian,64,2,Technology,0,2,12000,50000,9469.499536049469,0
Indonesian,60,4,Healthcare,0,3,10000,45000,51822.0,0
Indonesian,48,1,Services,0,2,7000,30000,16405.348209274183,0
Singaporean,34,1,Education,0,0,8000,35000,37876.7322050441,24
Indonesian,64,2,Education,0,2,8000,35000,15400.825836289128,0
Indonesian,20,4,Healthcare,1,3,10000,45000,14414.024873450571,0
Indonesian,44,1,Education,0,1,8000,35000,9204.739611841924,0
Indonesian,26,3,Technology,1,3,12000,50000,53727.0,0
Singaporean,28,3,Services,0,3,7000,30000,35096.7322050441,12
Indonesian,43,1,Finance,1,3,15000,70000,18898.280644721526,0
Singaporean,20,3,Education,0,1,8000,35000,43942.7322050441,13
Singaporean,63,2,Technology,0,3,12000,50000,57968.82912819824,8
Singaporean,27,3,Finance,1,3,15000,70000,67336.87291079538,2
Indonesian,43,3,Services,1,3,7000,30000,4904.53734722332,0
Singaporean,30,2,Finance,0,0,15000,70000,58433.253850222674,1
Indonesian,36,1,Technology,1,3,12000,50000,24094.567749634512,0
Singaporean,27,3,Finance,0,1,15000,70000,67657.37416235356,9
Singaporean,54,2,Healthcare,1,3,10000,45000,52500.7322050441,17
Singaporean,54,1,Finance,1,3,15000,70000,75900.55654866561,9
Singaporean,52,1,Education,1,1,8000,35000,40964.7322050441,11
Singaporean,24,2,Education,1,3,8000,35000,38852.7322050441,15
Singaporean,61,3,Healthcare,1,1,10000,45000,53891.47902143108,24
Singaporean,58,1,Technology,1,3,12000,50000,50378.67431409666,6
Singaporean,60,2,Education,1,1,8000,35000,42756.7322050441,23
Indonesian,47,1,Services,0,3,7000,30000,-650.9337917698319,0
Indonesian,26,3,Education,0,3,8000,35000,52725.0,0
Singaporean,28,1,Education,1,0,8000,35000,41703.7322050441,17
Singaporean,27,3,Technology,1,0,12000,50000,47968.7322050441,5
Singaporean,31,2,Finance,1,3,15000,70000,71342.61249608191,30
Indonesian,53,4,Education,0,3,8000,35000,53257.0,0
Singaporean,52,1,Healthcare,1,2,10000,45000,54727.87728190686,12
Indonesian,42,2,Finance,1,1,15000,70000,52793.0,0
Indonesian,43,1,Services,0,2,7000,30000,16842.115715584925,0
Indonesian,56,4,Technology,0,0,12000,50000,51697.0,0
Indonesian,54,4,Services,1,0,7000,30000,10991.9094186972,0
Indonesian,63,2,Finance,1,0,15000,70000,10795.020265434328,0
Singaporean,59,3,Finance,0,0,15000,70000,69295.66626004428,9
Singaporean,41,3,Finance,0,3,15000,70000,73122.05460460202,2
